input_text,product,quantity,price_satuan,pattern
mau mie kering jumlahnya 14 aja [SEP] rincian pesanan: mie kering (42 ribu) jadi 42.000 ya kak,mie kering,14,42000,1
pesen nasi udang tauco nya dua mangkuk ya pak [SEP] rincian pesanan: nasi udang tauco (49k) jadi 49k ya kak,nasi udang tauco,dua mangkuk,49000,2
min susus kocok boba capucino anter sekarang dibikin 14 ya [SEP] siap kak susus kocok boba capucino rp 54.000 total 54rb ya,susus kocok boba capucino,14,54000,2
mau bowl chicken pop corn jumlahnya 11 thanks [SEP] pesanan sedang disiapkan,bowl chicken pop corn,11,-1,3
tolong siapin sebox kwetiaw goreng sapi level 5 dulu [SEP] siap kak kwetiaw goreng sapi 52k total 52rb ya,kwetiaw goreng sapi,sebox,52000,1
boleh pesan 6 nasi goreng merah daging untuk anak saya thanks [SEP] nasi goreng merah daging 33000 ribu ya kak jadi rp 33000.000,nasi goreng merah daging,6,33000000,2
mau seplastik es teh pake ojol budget rp 37.000 ditunggu [SEP] siap kak es teh rp 37.000 total rp37rb ya,es teh,seplastik,37000,1
"bakso ekstra jumbo mekar original sembilan bakwan siram bumbu pecaljus dua thinwall [SEP] oke kak bakso ekstra jumbo mekar original sembilan dan bakwan siram bumbu pecaljus dua thinwall, totalnya rp324rb",bakso ekstra jumbo mekar original & bakwan siram bumbu pecaljus,sembilan & dua thinwall,-1,4
bikinin es teh manis jumbo tiga porsi jangan pedes tuh [SEP] siap kak es teh manis jumbo 483 ribu total 483.000 ya,es teh manis jumbo,tiga porsi,483000,2
minta 13 chicken skin crispy porsi double deh bang [SEP] chicken skin crispy 638k ya kak jadi rp 638.000,chicken skin crispy,13,638000,1
assalamualaikum order brownies potong topping keju bawa pulang 8 langsung ya [SEP] pesanan masuk: brownies potong topping keju x rp 516.000 = 516rb,brownies potong topping keju,8,516000,2
"sore es kopi latte lowkey 1, beneran rp 31.000 kan dehh [SEP] siapp es kopi latte lowkey rp 31.000 totalnya 31 rebu kak",es kopi latte lowkey,1,31000,3
"minta 3 nasi paru goreng buat bekel sekolah ya mas [SEP] baik, langsung kami buatkan",nasi paru goreng,3,-1,3
bikinin es milo cao jumbo 15 buat bekel sekolah loh [SEP] oke es milo cao jumbo harga 39k total rp39rb ya kak,es milo cao jumbo,15,39000,2
"pakde mie kuah sekotak, beneran 749rb kan ya kak [SEP] pesanan masuk: mie kuah x 749rb = rp749rb",mie kuah,sekotak,749000,1
bikinin poached chicken tiga piring porsi kecil dong [SEP] siap poached chicken rp17000rb totalnya 17000k kak,poached chicken,tiga piring,17000000,1
nitip lima mangkuk combo ayam geprek mozarella anget aja gan [SEP] siap kak combo ayam geprek mozarella 302k total 302 ribu ya,combo ayam geprek mozarella,lima mangkuk,302000,2
bikinin wedang ronde 13 makan sini nih [SEP] rincian pesanan: wedang ronde (25.000) jadi 25.000 ya kak,wedang ronde,13,25000,2
"aku pesen porsi jumbo nasi bebek sekalian es josua dua paket ya [SEP] baik kak, porsi jumbo nasi bebek (23 ribu) + dua paket es josua (rp189rb) = rp212rb ya",nasi bebek & es josua,porsi jumbo & dua paket,-1,4
"semika ayam bakar madu sekotak bebek goreng plus nasi [SEP] baik kak, semika ayam bakar madu (773 ribu) + sekotak bebek goreng plus nasi (43000 ribu) = 43773 ribu ya",ayam bakar madu & bebek goreng plus nasi,semika & sekotak,-1,4
sepiring kerupuk mie pake sambel ijo dong kak [SEP] baik kak,kerupuk mie,sepiring,-1,2
mau 10 ayam geprek pake qris suwun [SEP] pesanan masuk: ayam geprek x 98rb = 98k,ayam geprek,10,98000,2
"cookies and ice cream sandwich 7 rice box chicken fire semika [SEP] oke kak cookies and ice cream sandwich 7 dan rice box chicken fire semika, totalnya rp 562.000",cookies and ice cream sandwich & rice box chicken fire,7 & semika,-1,4
mau kopi gula aren jumlahnya lima pack jangan lama [SEP] pesanan masuk: kopi gula aren x 93k = rp 93.000,kopi gula aren,lima pack,93000,2
mas sepiring pisang goreng  ya min [SEP] siap kak,pisang goreng,sepiring,-1,2
"siang 12 tahu susu bumbu level 10 ya [SEP] baik, langsung kami buatkan",tahu susu bumbu,12,-1,1
ani mau pesen 7 ayam bakwan penyet santai aja sekarang ya [SEP] total tagihan 837 ribu untuk ayam bakwan penyet harga rp837rb per item ya,ayam bakwan penyet,7,837000,1
pesan sebox bihun pansit sedap siantar pake sambel ijo siap ditunggu [SEP] noted kak ditunggu ya,bihun pansit sedap siantar,sebox,-1,1
order lil bro chicken burger level 5 untuk 18 thanks [SEP] siap lil bro chicken burger 90k totalnya 90k kak,lil bro chicken burger,18,90000,1
"mau nasi goreng kalimantan jumlahnya porsi gede gercep ya [SEP] baik, langsung kami buatkan",nasi goreng kalimantan,porsi gede,-1,2
sore wedang ronde buat kantor lima mgkok deh [SEP] noted kak wedang ronde 77k totalnya rp 77.000,wedang ronde,lima mangkuk,77000,3
tolong siapin 25 french fries ori buat makan siang nih [SEP] french fries ori 811.000 ya kak jadi rp811rb,french fries ori,25,811000,2
joko sop buntut pedes mampus dibikin dua bungkus ya [SEP] baik kak sop buntut 9k satuan totalnya 9rb,sop buntut,dua bungkus,9000,1
bu ayam sambal hijau pake qris 14 yaaa [SEP] siap kak ayam sambal hijau rp57rb total 57k ya,ayam sambal hijau,14,57000,2
"order 23 nasi campur telur jumbo, terus poached chicken nya 13 nih [SEP] siap. nasi campur telur jumbo rp 967.000 & poached chicken rp70rb. total semuanya rp 1037.000 kak",nasi campur telur jumbo & poached chicken,23 & 13,-1,4
"order delapan chicken steak, terus konro nya setengah dong [SEP] oke kak chicken steak delapan dan konro setengah, totalnya 199k",chicken steak & konro,delapan & setengah,-1,4
crispy spicy chicken burger sembilan [SEP] pesanan sedang disiapkan,crispy spicy chicken burger,sembilan,-1,2
rudi mau pesen 25 nasi gurih telur bulat porsi gede oke ditunggu [SEP] oke nasi gurih telur bulat harga rp166rb total rp166rb ya kak,nasi gurih telur bulat,25,166000,1
bungkusin 18 nasi kebuli buat buka puasa langsung ya [SEP] noted kak nasi kebuli 81rb totalnya 81 ribu,nasi kebuli,18,81000,2
beli miehun seafood 49 ribu an tujuh doang [SEP] pesanan masuk: miehun seafood x 49 ribu = rp49rb,miehun seafood,tujuh,49000,2
order ayam bakwan penyet porsi kecil 22 ya bu,ayam bakwan penyet,22,-1,2
"admin pesen 21 kwetiau penang telur ayam dan 10 kepala ayam nih [SEP] pesanan: kwetiau penang telur ayam 8000k, kepala ayam 455 ribu. Total bayar = rp8455rb",kwetiau penang telur ayam & kepala ayam,21 & 10,-1,4
"thai tea non boba 5 ya p [SEP] halo kak, pesanan thai tea non boba seharga rp333rb sudah kami proses, total bayar rp 333.000",thai tea non boba,5,333000,2
"nasi goreng jumbo nyam nyam pedas sedang 23, mie gobyoss full toping sembilan deh mas [SEP] pesanan: nasi goreng jumbo nyam nyam 33 ribu, mie gobyoss full toping 349 ribu. Total bayar = 382rb",nasi goreng jumbo nyam nyam & mie gobyoss full toping,23 & sembilan,-1,4
putri es mega mendung sepuluh cepet ya,es mega mendung,sepuluh,-1,2
beli 22 nasi goreng white level 10 gan [SEP] siap kak nasi goreng white 9 ribu total 9rb ya,nasi goreng white,22,9000,2
juragan seplastik es pop ice coklat + 19 bihun pansit sedap siantar saja [SEP] siap. es pop ice coklat rp99rb & bihun pansit sedap siantar 704rb. total semuanya 803 ribu kak,es pop ice coklat & bihun pansit sedap siantar,seplastik & 19,-1,4
bude bisa pesan secup es orange squad porsi double pak [SEP] baik kak es orange squad 20k satuan totalnya rp20rb,es orange squad,secup,20000,1
"bikinin nasi bebek dendeng copa tiga piring porsi gede cepet ya [SEP] baik, rp 5.000 ya kak rinciannya nasi bebek dendeng copa harganya 5rb",nasi bebek dendeng copa,tiga piring,5000,1
reza order nasi telur kulit bakar pake ojol 8 bu [SEP] pesanan sedang disiapkan,nasi telur kulit bakar,8,-1,2
"ayam katsu tiga gelas ya gan [SEP] halo kak, pesanan ayam katsu seharga rp 739.000 sudah kami proses, total bayar 739 ribu",ayam katsu,tiga gelas,739000,2
"ayam penyet a setengah porsi seporsi, nasi uduk 5 deh kak [SEP] siap. ayam penyet a 871.000 & nasi uduk 205 ribu. total semuanya 1076k kak",ayam penyet a & nasi uduk,seporsi & 5,-1,4
dewi pesen mie kroyok pacar yang kyk biasa yang harganya 92rb 4 matur suwun [SEP] oke mie kroyok pacar harga 92rb total 92k ya kak,mie kroyok pacar,4,92000,1
"nitip 21 es jeruk nipis santai aja nih [SEP] halo kak, pesanan es jeruk nipis seharga 103.000 sudah kami proses, total bayar 103 ribu",es jeruk nipis,21,103000,1
order bakso jumbo bumbu pisah untuk setengah tuh [SEP] noted kak bakso jumbo 65.000 totalnya rp65rb,bakso jumbo,setengah,65000,1
beli sepuluh ayam tempe penyet jangan pedes deh bang [SEP] total tagihan 574.000 untuk ayam tempe penyet harga rp 574.000 per item ya,ayam tempe penyet,sepuluh,574000,1
beli 6 jus alpukat titipan bos ya kak [SEP] baik kak jus alpukat rp 51.000 satuan totalnya 51rb,jus alpukat,6,51000,3
"sore nasi udang tauco 20, beneran rp 33.000 kan deh kak [SEP] nasi udang tauco rp 33.000 ya kak jadi 33rb",nasi udang tauco,20,33000,3
miehun goreng special dua plastik ya juragan [SEP] ttl tagihan 81.000 untuk miehun goreng special hrg rp81rb per item ya,miehun goreng special,dua plastik,81000,3
bapak nasi paru level dewa se-thinwall matur suwun [SEP] total tagihan rp 797.000 untuk nasi paru harga 797k per item ya,nasi paru,se-thinwall,797000,1
